row_number,visitor_id,search_timestamp,category,pro_user_id,num_reviews,avg_rating,pro_last_active_time_before_search,cost_estimate_cents,result_position,service_page_viewed
24543,342923653232713000,2018-11-13 00:34:13.942 UTC,House Cleaning,320102974536179000,21,5,2018-11-11 03:18:19.091 UTC,17100,1,FALSE
20069,339450867059925000,2018-10-03 19:54:28.25 UTC,House Cleaning,318129610914447000,21,4.952380952,2018-10-03 10:16:40.723 UTC,18000,5,FALSE
24103,339279503229329000,2018-10-01 20:18:23.995 UTC,House Cleaning,287504958816519000,21,4.857142857,2018-10-01 00:19:53.709 UTC,12500,5,FALSE
15693,341103226482704000,2018-10-22 22:53:47.138 UTC,House Cleaning,329277568287965000,21,4.80952381,2018-10-22 18:02:43.3 UTC,13500,2,TRUE
22341,341280348153471000,2018-10-25 00:05:48.876 UTC,House Cleaning,329277568287965000,21,4.80952381,2018-10-22 23:22:04.663 UTC,12000,4,FALSE
7555,342333175302365000,2018-11-06 04:32:56.14 UTC,House Cleaning,257431092635493000,21,4.857142857,2018-11-04 15:23:38.403 UTC,15000,2,TRUE
19738,341827193534447000,2018-10-31 07:59:54.577 UTC,House Cleaning,257431092635493000,21,4.857142857,2018-10-31 01:39:13.718 UTC,9800,4,TRUE
16285,343868085927190000,2018-11-23 22:54:46.572 UTC,House Cleaning,311349466691551000,21,4.666666667,2018-11-22 21:21:36.308 UTC,10000,1,FALSE
20517,343536635832934000,2018-11-20 02:50:36.376 UTC,House Cleaning,311349466691551000,21,4.666666667,2018-11-12 01:42:11.933 UTC,10000,1,FALSE
14267,343277153447100000,2018-11-17 02:45:54.125 UTC,House Cleaning,198080404871136000,21,4.523809524,2018-11-15 21:37:33.084 UTC,,9,FALSE
19789,344102575165718000,2018-11-26 16:02:56.054 UTC,House Cleaning,198080404871136000,21,4.523809524,2018-11-25 20:26:02.255 UTC,,18,FALSE
16805,340483747355058000,2018-10-15 18:49:07.796 UTC,House Cleaning,300897151728984000,21,4.904761905,2018-10-14 19:15:38.299 UTC,12000,1,FALSE
23644,342118970957643000,2018-11-03 17:02:51.61 UTC,House Cleaning,300897151728984000,21,4.904761905,2018-11-03 03:20:44.12 UTC,12000,1,FALSE
10849,342462783957041000,2018-11-07 16:33:04.972 UTC,House Cleaning,253650357210539000,21,4.761904762,2018-11-07 08:05:47.473 UTC,10000,10,TRUE
14672,342906531189088000,2018-11-12 19:48:52.101 UTC,House Cleaning,253650357210539000,21,4.761904762,2018-11-08 19:17:18.856 UTC,10000,4,FALSE
15742,342429503418999000,2018-11-07 07:18:24.372 UTC,House Cleaning,253650357210539000,21,4.761904762,2018-11-04 00:57:27.134 UTC,10000,9,FALSE
5544,340663703672193000,2018-10-17 20:48:24.325 UTC,House Cleaning,324448016410583000,21,4.380952381,2018-10-17 05:44:26.111 UTC,42000,7,FALSE
14218,342325257700843000,2018-11-06 02:20:58.53 UTC,House Cleaning,324448016410583000,21,4.380952381,2018-11-05 18:11:58.454 UTC,42000,11,FALSE
14540,342188136199807000,2018-11-04 12:15:36.949 UTC,House Cleaning,324448016410583000,21,4.380952381,2018-11-01 14:07:01.714 UTC,42000,4,FALSE
17542,342022374450438000,2018-11-02 14:12:55.073 UTC,House Cleaning,324448016410583000,21,4.380952381,2018-11-01 14:07:01.714 UTC,32000,6,FALSE
